image_caption_id,caption
10022.jpg#1,Ground glass opacities in right lower lobe
10022.jpg#2,Consolidation in right middle lobe with air bronchograms
10022.jpg#3,"Bilateral interstitial thickening, more prominent on right"
10022.jpg#4,Small pleural effusion on right side
10022.jpg#5,No pneumothorax identified
10023.jpg#1,Normal chest radiograph without acute findings
10023.jpg#2,Clear lungs with no focal opacities
10023.jpg#3,Unremarkable cardiac silhouette
10024.jpg#1,Large mass in left upper lobe measuring 3.5cm
10024.jpg#2,Spiculated lesion with irregular margins
10024.jpg#3,Associated pleural thickening
10024.jpg#4,No evidence of mediastinal lymphadenopathy
10024.jpg#5,Recommend biopsy for tissue diagnosis
10024.jpg#6,Follow-up CT recommended
10024.jpg#7,Compare with prior imaging
10025.jpg#1,Small nodule in right upper lobe measuring 8mm
10025.jpg#2,Well-circumscribed with smooth margins
10026.jpg#1,Moderate pleural effusion on left side
10026.jpg#2,Blunting of left costophrenic angle
10026.jpg#3,No evidence of pneumothorax
10026.jpg#4,Cardiac silhouette within normal limits
10027.jpg#1,Enlarged cardiac silhouette
10027.jpg#2,Cardiothoracic ratio greater than 0.5
10027.jpg#3,Pulmonary vascular congestion
10027.jpg#4,Small bilateral pleural effusions
10027.jpg#5,No focal consolidation
10027.jpg#6,Follow-up recommended
